"Month","Gross sales","Discounts","Orders","Average order value","Month (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Orders (previous_period)","Average order value (previous_period)","Gross sales (previous_period) ","Discounts (previous_period) ","Orders (previous_period) ","Average order value (previous_period) "
"2024-11-01",53823.68,-254.95,140,382.633,"2023-11-01",57782.27,0,140,412.73,-6.85,,0,-7.292
"2024-12-01",79409.69,-663.95,205,384.125,"2023-12-01",66316.09,-2.5,170,390.079,19.744,-26458,20.58823529411765,-1.526
"2025-01-01",117561.25,-761.37,280,417.142,"2024-01-01",82783.96,-515.66,211,389.897,42.009,-47.649,32.70142180094787,6.987
"2025-02-01",92026.41,-914.81,206,442.289,"2024-02-01",89699.57,-176.59,218,410.655,2.594,-418.041,-5.504587155963303,7.703
"2025-03-01",74801.34,-970.88,229,322.403,"2024-03-01",84656.44,-194.78,243,347.578,-11.641,-398.449,-5.761316872427984,-7.242
"2025-04-01",108721.31,-1198.47,249,431.818,"2024-04-01",100554.55,0,235,427.891,8.121,,5.957446808510638,0.917
"2025-05-01",101495.13,-1940.78,242,411.381,"2024-05-01",83574.74,-3,224,373.088,21.442,-64592.666,8.035714285714286,10.263
"2025-06-01",73352.93,-336.89,201,363.263,"2024-06-01",80853.07,-24.6,227,356.072,-9.276,-1269.471,-11.45374449339207,2.019
"2025-07-01",96741.84,-674.31,229,419.508,"2024-07-01",102042.48,-428.62,236,430.567,-5.194,-57.321,-2.9661016949152543,-2.568
"2025-08-01",111087.61,-1611.08,213,513.974,"2024-08-01",116966.16,-1206.75,244,474.423,-5.025,-33.505,-12.704918032786885,8.336
"2025-09-01",137064.77,-643.77,232,588.021,"2024-09-01",111612.51,-870.61,245,452.007,22.804,26.055,-5.3061224489795915,30.091
"2025-10-01",107348.47,-72.38,259,414.193,"2024-10-01",124274.8,-981.51,268,460.049,-13.62,92.625,-3.3582089552238807,-9.967
"2025-11-01",50206.34,-367,103,483.877,"2024-11-01",46536.98,-327.62,110,420.085,7.884,-12.02,-6.363636363636363,15.185
