"Month","Bounce rate","Month (previous_period)","Bounce rate (previous_period)","Bounce rate (previous_period) "
"2024-11-01",0.8118343195266272,"2023-11-01",0.6042992261392949,34.34310096890545
"2024-12-01",0.6434243656788688,"2023-12-01",0.6368554327808471,1.0314637451294575
"2025-01-01",0.7604345657114351,"2024-01-01",0.5640721404841006,34.811580139166495
"2025-02-01",0.7594797463439886,"2024-02-01",0.6055367231638418,25.422574270279895
"2025-03-01",0.7702876291538676,"2024-03-01",0.7382714275450822,4.3366437348451115
"2025-04-01",0.6762151455127229,"2024-04-01",0.6025452250736222,12.226454940390461
"2025-05-01",0.6748052365271866,"2024-05-01",0.778970579701735,-13.37217937222134
"2025-06-01",0.8106887467068122,"2024-06-01",0.6500354933576716,24.71453558932723
"2025-07-01",0.7383478844862323,"2024-07-01",0.8110865803448893,-8.968055645517786
"2025-08-01",0.782580283793876,"2024-08-01",0.6034843205574912,29.676986979701176
"2025-09-01",0.85119841990071,"2024-09-01",0.6120657797487066,39.069761464230716
"2025-10-01",0.8750256328464991,"2024-10-01",0.6656477943730462,31.454748328379825
"2025-11-01",0.8655638702901405,"2024-11-01",0.6260928043039677,38.10812625989356
