"Month","Customers","Orders","Total sales","Month (previous_period)","Customers (previous_period)","Orders (previous_period)","Total sales (previous_period)","Customers (previous_period) ","Orders (previous_period) ","Total sales (previous_period) "
"2024-11-01",29,29,6129.54,"2023-11-01",36,36,10551.37,-19.444444444444443,-19.444444444444443,-41.907
"2024-12-01",67,67,13915.76,"2023-12-01",34,34,4440.23,97.05882352941177,97.05882352941177,213.401
"2025-01-01",79,79,17674.51,"2024-01-01",59,59,9597.03,33.898305084745765,33.898305084745765,84.166
"2025-02-01",56,56,12401.55,"2024-02-01",64,64,14396.14,-12.5,-12.5,-13.855
"2025-03-01",60,60,8297.82,"2024-03-01",64,64,11021.81,-6.25,-6.25,-24.714
"2025-04-01",70,70,14345.72,"2024-04-01",70,70,18241.21,0,0,-21.355
"2025-05-01",84,84,15064.32,"2024-05-01",58,58,10901.89,44.827586206896555,44.827586206896555,38.18
"2025-06-01",50,50,6728.25,"2024-06-01",63,63,15140.31,-20.634920634920636,-20.634920634920636,-55.56
"2025-07-01",57,57,12479.98,"2024-07-01",60,60,11699.89,-5,-5,6.667
"2025-08-01",51,51,15907.29,"2024-08-01",81,81,20099.07,-37.03703703703704,-37.03703703703704,-20.855
"2025-09-01",60,60,11453.42,"2024-09-01",80,80,20679.64,-25,-25,-44.614
"2025-10-01",73,73,10610.23,"2024-10-01",87,87,22526.55,-16.091954022988507,-16.091954022988507,-52.899
"2025-11-01",27,27,3604.92,"2024-11-01",25,25,6112.3,8,8,-41.021
