"Month","Returning customers","Customers","Returning customer rate","Month (previous_period)","Returning customers (previous_period)","Customers (previous_period)","Returning customer rate (previous_period)","Returning customers (previous_period) ","Customers (previous_period) ","Returning customer rate (previous_period) "
"2024-11-01",97,125,0.776,"2023-11-01",89,125,0.712,8.98876404494382,0,8.988764044943828
"2024-12-01",110,173,0.6358381502890174,"2023-12-01",107,140,0.7642857142857142,2.803738317757009,23.571428571428573,-16.806223326670622
"2025-01-01",161,232,0.6939655172413793,"2024-01-01",122,181,0.6740331491712708,31.9672131147541,28.176795580110497,2.957179197286598
"2025-02-01",121,174,0.6954022988505747,"2024-02-01",127,187,0.679144385026738,-4.724409448818897,-6.951871657754011,2.3938817992578416
"2025-03-01",135,194,0.6958762886597938,"2024-03-01",144,206,0.6990291262135923,-6.25,-5.825242718446602,-0.45103092783505905
"2025-04-01",144,210,0.6857142857142857,"2024-04-01",139,208,0.6682692307692307,3.597122302158273,0.9615384615384616,2.610483042137726
"2025-05-01",135,216,0.625,"2024-05-01",137,195,0.7025641025641025,-1.4598540145985401,10.76923076923077,-11.040145985401454
"2025-06-01",123,172,0.7151162790697675,"2024-06-01",146,203,0.7192118226600985,-15.753424657534246,-15.270935960591133,-0.5694488690665762
"2025-07-01",139,196,0.7091836734693877,"2024-07-01",147,205,0.7170731707317073,-5.442176870748299,-4.390243902439025,-1.1002360127724582
"2025-08-01",138,188,0.7340425531914894,"2024-08-01",121,201,0.6019900497512438,14.049586776859504,-6.467661691542289,21.9359943731317
"2025-09-01",136,194,0.7010309278350515,"2024-09-01",135,213,0.6338028169014085,0.7407407407407407,-8.92018779342723,10.607101947308118
"2025-10-01",153,220,0.6954545454545454,"2024-10-01",148,232,0.6379310344827587,3.3783783783783785,-5.172413793103448,9.017199017199006
"2025-11-01",69,94,0.7340425531914894,"2024-11-01",81,105,0.7714285714285715,-14.814814814814815,-10.476190476190476,-4.846335697399531
