# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
# Pages and screens: Page path and screen class,,,,,,,,
# Account: seo,,,,,,,,
# Property: HBNO.com,,,,,,,,
# ----------------------------------------,,,,,,,,
#,,,,,,,,
# All Users,,,,,,,,
# Start date: 20250201,,,,,,,,
# End date: 20251022,,,,,,,,
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Bounce rate,Event count,Key events,Total revenue
/collections/essential-oils,15235,8412,1.81110318592486,37.8883737517831,0.164364035087719,45088,0,0
/,15219,9998,1.52220444088817,21.0521104220844,0.407796451914098,49433,0,0
/products/tamanu-oil-organic,11642,6053,1.92334379646456,35.344622501239,0.469221663213968,45783,0,0
/products/rose-floral-water-organic,10518,3757,2.79957412829385,36.4612722917221,0.324768211920529,42637,0,0
/collections/carrier-oils,10067,5614,1.79319558247239,28.0940505878161,0.140253428224266,30776,0,0
/collections/fragrance,8544,4787,1.78483392521412,26.8211823689158,0.13682295877122,26386,0,0
/products/helichrysum-italicum-mct-organic,7985,5939,1.34450244148846,34.7831284728068,0.515419119708438,34434,0,0
/collections/sale,7453,4223,1.76485910490172,38.2914989344068,0.178201885490917,21148,0,0
/collections/essentials-oils-blends,6811,3912,1.74105316973415,26.0483128834355,0.171905697445972,20547,0,0
/products/lemongrass-essential-oil,5587,2014,2.77408142999006,35.1439920556107,0.376573088092933,22358,0,0
/collections/essential-oils/products/hbno-organic-tea-tree-essential-oil,5416,1832,2.95633187772925,36.8346069868995,0.340043525571273,21973,0,0
/products/tea-tree,5401,1836,2.9417211328976,38.6481481481481,0.334410339256865,21629,0,0
/products/spearmint-essential-oil,5240,1783,2.93886707795849,37.3426808749298,0.349607182940516,20996,0,0
/search,4657,1582,2.94374209860935,42.8400758533501,0.101083032490974,22117,0,0
/products/helichrysum-italicum-oil-organic,4110,3175,1.29448818897637,34.451653543307,0.436415436415436,16175,0,0
/products/frankincense,3948,2001,1.97301349325337,31.6756621689155,0.362517099863201,14999,0,0
/blogs/news/castor-oil-on-feet-overnight-benefits-and-how-to-use-it-for-care,3251,2841,1.14431538190777,63.0813093980992,0.47391304347826,11813,0,0
/collections/floral-waters,2702,1872,1.44337606837606,10.7847222222222,0.321963824289405,7222,0,0
/blogs/news/best-carrier-oils-for-castor-oil-for-skin-hair-face,2380,2024,1.17588932806324,69.5839920948616,0.510775862068965,8405,0,0
/blogs/news/benefits-and-risks-of-using-castor-oil-in-the-nose,2345,1967,1.19217081850533,61.0889679715302,0.503279405334499,8239,0,0
/blogs/news/castor-oil-for-ears-clean-unclog-and-remove-ear-wax,2279,1921,1.18636127017178,59.7824049973971,0.58685028876055,7944,0,0
/products/eucalyptus-oil-organic,2264,494,4.582995951417,62.82995951417,0.0752475247524752,8886,0,0
/pages/contact-us,2209,1464,1.50887978142076,34.8080601092896,0.181818181818181,5920,0,0
/collections,2031,1335,1.52134831460674,12.0194756554307,0.402077151335311,5556,0,0
/products/clove-oil,1627,403,4.03722084367245,59.7617866004962,0.149643705463182,6396,0,0
/products/moringa-oil-organic,1591,385,4.13246753246753,62.038961038961,0.143564356435643,6161,0,0
/products/peppermint,1551,413,3.75544794188861,54.7941888619854,0.126385809312638,6095,0,0
/products/citronella-essential-oil,1484,340,4.36470588235294,60.9323529411764,0.128851540616246,5816,0,0
/products/lemongrass-organic,1454,319,4.55799373040752,58.9247648902821,0.093093093093093,5683,0,0
/products/evening-primrose-oil-organic,1431,305,4.69180327868852,64.7147540983606,0.0977198697068403,5592,0,0
/products/cedarwood,1412,303,4.66006600660066,69.1122112211221,0.10759493670886,5607,0,0
/products/pine-needle-fragrance,1408,302,4.66225165562913,61.2185430463576,0.101639344262295,5612,0,0
/products/camellia-oil-organic-glass,1378,306,4.5032679738562,59.3235294117647,0.0894568690095846,5401,0,0
/products/mct-conventional,1312,287,4.57142857142857,57.4459930313588,0.0903426791277258,5129,0,0
/cart,1232,593,2.07757166947723,33.4991568296795,0.132547864506627,3241,0,0
/products/black-seed-oil-organic,1139,506,2.25098814229249,51.2747035573122,0.328358208955223,3598,0,0
/blogs/news/castor-oil-coconut-oil-a-unique-and-versatile-combination,934,779,1.198973042362,67.3632862644416,0.491601343784994,3290,0,0
/products/lime-essential-oil,864,200,4.32,58.995,0.10091743119266,3384,0,0
/pages/about-us,626,492,1.27235772357723,38.0020325203252,0.160804020100502,1714,0,0
/blogs/news,616,284,2.16901408450704,42.1936619718309,0.194647201946472,1596,0,0
/collections/packaging,563,454,1.24008810572687,9.35462555066079,0.0566801619433198,1327,0,0
/products/almond-oil-organic,530,417,1.27098321342925,20.4772182254196,0.213362068965517,1834,0,0
/blogs/news/tea-tree-oil-for-plants-safe-uses-for-indoor-and-outdoor-plants,499,431,1.15777262180974,59.1508120649651,0.523046092184368,1795,0,0
/blogs/news/how-to-make-frankincense-oil-a-simple-guide,408,309,1.32038834951456,80.5145631067961,0.491978609625668,1387,0,0
/blogs/news/best-jojoba-oil-alternatives-for-personal-care,383,308,1.24350649350649,33.3246753246753,0.567567567567567,1294,0,0
/blogs/news/peppermint-oil-spray-for-bugs-and-diy-bug-repellent-ratio,374,300,1.24666666666666,38.1266666666666,0.631728045325779,1233,0,0
/products/myrrh-essential-oil,368,292,1.26027397260273,18.6438356164383,0.630057803468208,1505,0,0
/blogs/news/benefits-of-applying-castor-oil-on-body-for-heat-and-cooling-effects,356,316,1.12658227848101,37.1582278481012,0.434017595307917,1267,0,0
/collections/essential-oils/products/helichrysum-italicum-oil-organic,344,270,1.27407407407407,49.8629629629629,0.133333333333333,1135,0,0
/products/cedarwood-essential-oil,298,150,1.98666666666666,31.2533333333333,0.235294117647058,963,0,0
/blogs/news/aloe-vera-and-tea-tree-oil-benefits-a-powerful-combination-for-skin-and-hair,288,259,1.11196911196911,48.8610038610038,0.462897526501766,1053,0,0
/products/lavender-dutch-oil,277,104,2.66346153846153,39.2884615384615,0.260162601626016,759,0,0
/blogs/news/frankincense-and-jojoba-oil-for-face-benefits-and-diy-recipes,268,231,1.16017316017316,74.7316017316017,0.465201465201465,979,0,0
/blogs/news/how-to-make-lemongrass-oil-for-mosquito-repellent,260,191,1.36125654450261,54.8376963350785,0.633858267716535,854,0,0
/products/lavender-essential-oil-organic,256,174,1.47126436781609,33.867816091954,0.262222222222222,966,0,0
/collections/essential-oils/products/frankincense,243,127,1.91338582677165,48.8582677165354,0.104166666666666,656,0,0
/collections/all,232,168,1.38095238095238,46.1309523809523,0.193181818181818,606,0,0
/products/castor-oil-organic,223,104,2.14423076923076,42.2307692307692,0.1640625,760,0,0
/blogs/news/serrata-vs-carterii-benefits-of-each-frankincense-oil,219,190,1.15263157894736,77.0736842105263,0.391509433962264,823,0,0
/blogs/news/rose-geranium-oil-vs-geranium-oil-key-differences,214,203,1.05418719211822,56.1921182266009,0.433179723502304,812,0,0
/blogs/news/eucalyptus-essential-oil-blends-best-combinations-recipes,206,172,1.19767441860465,48.5465116279069,0.492537313432835,709,0,0
/blogs/news/oregano-oil-for-tooth-infection-how-to-use-and-its-benefits,194,174,1.11494252873563,68.2586206896551,0.486910994764397,711,0,0
/blogs/news/is-geranium-oil-safe-for-dogs-flea-and-tick-protection,193,162,1.19135802469135,32.4135802469135,0.572192513368983,657,0,0
/pages/faqs,188,168,1.11904761904761,22.8571428571428,0.120689655172413,521,0,0
/products/eucalyptus-globulus,186,123,1.51219512195121,30.2845528455284,0.264150943396226,686,0,0
/collections/essentials-oils-blends/products/helichrysum-italicum-mct-organic,176,121,1.45454545454545,84.8760330578512,0.246913580246913,577,0,0
/collections/floral-waters/products/rose-floral-water-organic,173,106,1.63207547169811,37.0849056603773,0.133333333333333,507,0,0
/pages/shipping-returns,173,137,1.26277372262773,37.4379562043795,0.164383561643835,466,0,0
/products/rosemary-organic,173,116,1.49137931034482,34.5775862068965,0.20253164556962,623,0,0
/collections/essential-oils/products/lavender-dutch-oil,172,74,2.32432432432432,48.0945945945946,0.05,426,0,0
/blogs/news/oregano-oil-for-warts-a-natural-remedy-for-clear-skin,171,144,1.1875,40.7708333333333,0.648484848484848,577,0,0
/blogs/news/sage-oil-for-hair-growth-and-grey-hair-how-to-make-and-use-it,166,149,1.11409395973154,59.3288590604026,0.490683229813664,602,0,0
/collections/essential-oils/products/lavender-essential-oil-organic,163,130,1.25384615384615,30.8076923076923,0.130718954248366,542,0,0
/products/sweet-orange,162,62,2.61290322580645,25.6935483870967,0.244680851063829,473,0,0
/products/lemon-essential-oil,160,61,2.62295081967213,29.8360655737704,0.105882352941176,471,0,0
/products/geranium-essential-oil-organic,159,62,2.56451612903225,52.3870967741935,0.141176470588235,493,0,0
/blogs/news/is-castor-oil-good-for-skin-allergies-burns-and-rashes,148,118,1.25423728813559,39.2457627118644,0.489361702127659,493,0,0
