Date,Clicks,Impressions,CTR,Position
2025-10-21,91,10030,0.0091,9.79
2025-10-20,149,12561,0.011899999999999999,8.7
2025-10-19,137,14051,0.0098,9.57
2025-10-18,107,12489,0.0086,10.03
2025-10-17,119,11953,0.01,10.01
2025-10-16,156,13014,0.012,10.49
2025-10-15,167,11902,0.013999999999999999,10.35
2025-10-14,125,11926,0.0105,11.67
2025-10-13,121,11879,0.0102,10.36
2025-10-12,123,11890,0.0103,10.03
2025-10-11,118,11195,0.0105,10.21
2025-10-10,98,10578,0.009300000000000001,12.62
2025-10-09,122,10399,0.011699999999999999,9.61
2025-10-08,149,11006,0.013500000000000002,9.84
2025-10-07,107,11916,0.009000000000000001,10.42
2025-10-06,100,11595,0.0086,9.77
2025-10-05,117,12302,0.0095,9.49
2025-10-04,110,11140,0.009899999999999999,9.4
2025-10-03,119,10698,0.0111,10.61
2025-10-02,125,10868,0.0115,10.15
2025-10-01,127,11311,0.011200000000000002,10.6
2025-09-30,130,11769,0.011000000000000001,11.26
2025-09-29,125,11999,0.0104,11.21
2025-09-28,109,12573,0.0087,10.48
2025-09-27,98,11892,0.008199999999999999,10.98
2025-09-26,123,11514,0.010700000000000001,10.29
2025-09-25,108,12029,0.009000000000000001,9.16
2025-09-24,125,12763,0.0098,10.84
2025-09-23,125,12474,0.01,9.22
2025-09-22,162,12920,0.0125,9.78
2025-09-21,102,13568,0.0075,10.16
2025-09-20,147,12466,0.0118,10.01
2025-09-19,137,11337,0.0121,10.26
2025-09-18,151,12146,0.0124,10.23
2025-09-17,132,11909,0.0111,8.13
2025-09-16,159,12496,0.0127,9.22
2025-09-15,138,12738,0.0108,9.25
2025-09-14,160,13394,0.011899999999999999,8.64
2025-09-13,125,11728,0.010700000000000001,8.62
2025-09-12,109,11244,0.0097,12.22
2025-09-11,123,12617,0.0097,17.16
2025-09-10,140,14422,0.0097,19.89
2025-09-09,150,16957,0.0088,21.54
2025-09-08,153,17263,0.0089,22.03
2025-09-07,164,17482,0.009399999999999999,21.98
2025-09-06,136,16472,0.0083,22.62
2025-09-05,146,15839,0.0092,23.62
2025-09-04,135,16040,0.0084,23.38
2025-09-03,115,14827,0.0078000000000000005,25.23
2025-09-02,141,15772,0.0089,26.78
2025-09-01,126,18309,0.0069,24.5
2025-08-31,147,17690,0.0083,24.72
2025-08-30,118,16337,0.0072,22.67
2025-08-29,116,15626,0.0074,23.93
2025-08-28,138,16814,0.008199999999999999,23.43
2025-08-27,170,16213,0.0105,22.92
2025-08-26,159,18893,0.0084,24.88
2025-08-25,147,17181,0.0086,23.56
2025-08-24,165,16514,0.01,21.61
2025-08-23,138,16419,0.0084,24.19
2025-08-22,144,14818,0.0097,22.56
2025-08-21,143,15238,0.009399999999999999,22.88
2025-08-20,125,15766,0.0079,23.56
2025-08-19,107,14305,0.0075,20.98
2025-08-18,145,15395,0.009399999999999999,22.84
2025-08-17,152,16265,0.009300000000000001,23.69
2025-08-16,129,15564,0.0083,24.72
2025-08-15,133,13583,0.0098,23.27
2025-08-14,122,13574,0.009000000000000001,22.3
2025-08-13,127,14060,0.009000000000000001,22.74
2025-08-12,127,13659,0.009300000000000001,21.81
2025-08-11,162,14467,0.011200000000000002,23.09
2025-08-10,112,15118,0.0074,22.41
2025-08-09,121,14096,0.0086,23.84
2025-08-08,92,13037,0.0070999999999999995,23.66
2025-08-07,122,13152,0.009300000000000001,22.71
2025-08-06,133,12960,0.0103,23.27
2025-08-05,132,14156,0.009300000000000001,24.26
2025-08-04,121,14825,0.008199999999999999,23.98
2025-08-03,113,15707,0.0072,23.32
2025-08-02,96,13989,0.0069,22.24
2025-08-01,99,12952,0.0076,22.8
2025-07-31,138,13586,0.0102,21.67
2025-07-30,145,15162,0.0096,22.8
2025-07-29,122,14505,0.0084,21.92
2025-07-28,132,15172,0.0087,22.73
2025-07-27,105,17520,0.006,24.92
2025-07-26,130,17600,0.0074,24.83
2025-07-25,113,13928,0.008100000000000001,22.17
2025-07-24,117,15601,0.0075,27.39
2025-07-23,112,12886,0.0087,22.14
2025-07-22,121,14211,0.0085,23.57
2025-07-21,92,15374,0.006,25.13
2025-07-20,95,14330,0.0066,22.09
2025-07-19,97,13430,0.0072,22.25
2025-07-18,95,12476,0.0076,23.03
2025-07-17,143,13000,0.011000000000000001,20.14
2025-07-16,114,12441,0.0092,22.28
2025-07-15,123,14248,0.0086,24.66
2025-07-14,105,13320,0.0079,23.75
2025-07-13,85,13811,0.0062,23.74
2025-07-12,69,14221,0.0049,25.88
2025-07-11,98,13589,0.0072,26.26
2025-07-10,76,12807,0.0059,26.03
2025-07-09,92,12545,0.0073,26.1
2025-07-08,99,13397,0.0074,24.56
2025-07-07,100,13912,0.0072,25.9
2025-07-06,78,12439,0.0063,23.95
2025-07-05,89,12168,0.0073,24.46
2025-07-04,89,12071,0.0074,24.01
2025-07-03,93,11706,0.0079,23.33
2025-07-02,86,13608,0.0063,25.35
2025-07-01,123,13798,0.0089,23.31
2025-06-30,113,13817,0.008199999999999999,22.16
2025-06-29,120,17618,0.0068000000000000005,25.86
2025-06-28,98,13250,0.0074,23.58
2025-06-27,104,13401,0.0078000000000000005,24.96
2025-06-26,92,13542,0.0068000000000000005,24.91
2025-06-25,132,13044,0.0101,23.13
2025-06-24,113,12587,0.009000000000000001,22.46
2025-06-23,118,12150,0.0097,23.04
2025-06-22,89,12448,0.0070999999999999995,23.33
2025-06-21,66,12547,0.0053,23.75
2025-06-20,85,12996,0.006500000000000001,25.5
2025-06-19,98,12639,0.0078000000000000005,24.33
2025-06-18,98,12125,0.008100000000000001,23.21
2025-06-17,98,11858,0.0083,23.9
2025-06-16,87,11848,0.0073,24.92
2025-06-15,74,11352,0.006500000000000001,23.16
2025-06-14,69,10816,0.0064,22.93
2025-06-13,87,10516,0.0083,23.42
2025-06-12,76,10200,0.0075,22.43
2025-06-11,90,10778,0.0084,22.27
2025-06-10,92,10265,0.009000000000000001,22.57
2025-06-09,89,11170,0.008,21.71
2025-06-08,105,10979,0.0096,21.88
2025-06-07,78,10433,0.0075,23.64
2025-06-06,71,9203,0.0077,25.88
2025-06-05,76,8683,0.0088,24.78
2025-06-04,83,8538,0.0097,24.87
2025-06-03,88,8224,0.010700000000000001,24.78
2025-06-02,78,8870,0.0088,25.91
2025-06-01,66,8685,0.0076,25.9
2025-05-31,74,8111,0.0091,25.95
2025-05-30,74,7690,0.0096,26.72
2025-05-29,86,7897,0.0109,25.6
2025-05-28,85,8115,0.0105,26.19
2025-05-27,77,8454,0.0091,27.3
2025-05-26,63,9341,0.0067,27.46
2025-05-25,73,8389,0.0087,26.94
2025-05-24,69,7604,0.0091,26.8
2025-05-23,58,6607,0.0088,24.46
2025-05-22,67,7220,0.009300000000000001,24.95
2025-05-21,60,7377,0.008100000000000001,27.48
2025-05-20,73,6815,0.010700000000000001,25.36
2025-05-19,74,7351,0.0101,24.62
2025-05-18,68,7114,0.0096,24.24
2025-05-17,62,6123,0.0101,24.14
2025-05-16,62,6164,0.0101,25.93
2025-05-15,76,6714,0.0113,24.69
2025-05-14,76,7018,0.0108,25.62
2025-05-13,79,7482,0.0106,27.43
2025-05-12,78,7572,0.0103,27.42
2025-05-11,57,6861,0.0083,29.92
2025-05-10,61,6527,0.009300000000000001,28.73
2025-05-09,63,5830,0.0108,29.09
2025-05-08,62,6723,0.0092,28.9
2025-05-07,80,6242,0.0128,26.8
2025-05-06,72,7071,0.0102,27.61
2025-05-05,70,7055,0.009899999999999999,27.18
2025-05-04,74,7141,0.0104,27.17
2025-05-03,71,6365,0.011200000000000002,26.59
2025-05-02,60,5884,0.0102,25.92
2025-05-01,66,5777,0.011399999999999999,24.83
2025-04-30,87,5353,0.0163,25.02
2025-04-29,94,5726,0.016399999999999998,25.45
2025-04-28,89,5701,0.015600000000000001,25.75
2025-04-27,83,5895,0.0141,26.65
2025-04-26,68,5312,0.0128,24.06
2025-04-25,112,5653,0.019799999999999998,23.32
2025-04-24,80,5315,0.0151,25.28
2025-04-23,72,5488,0.0131,21.88
2025-04-22,73,5229,0.013999999999999999,23.71
2025-04-21,76,5254,0.014499999999999999,24.9
2025-04-20,69,5091,0.013600000000000001,27.41
2025-04-19,52,4400,0.0118,24.85
2025-04-18,62,4456,0.0139,25.16
2025-04-17,63,4016,0.015700000000000002,22.48
2025-04-16,79,4320,0.0183,21.95
2025-04-15,52,4687,0.0111,25.15
2025-04-14,54,4358,0.0124,24.38
2025-04-13,45,4536,0.009899999999999999,25.41
2025-04-12,36,3911,0.0092,25.7
2025-04-11,60,3994,0.015,24.31
2025-04-10,53,4311,0.0123,23.08
2025-04-09,67,3869,0.0173,23.59
2025-04-08,177,5552,0.0319,20.52
2025-04-07,63,6742,0.009300000000000001,18.23
2025-04-06,57,6973,0.008199999999999999,18.36
2025-04-05,26,5714,0.0046,19.71
2025-04-04,56,4476,0.0125,21.19
2025-04-03,69,3282,0.021,25.52
2025-04-02,66,3592,0.0184,28.52
2025-04-01,39,3604,0.0108,30.2
2025-03-31,86,3458,0.024900000000000002,28.46
2025-03-30,64,3763,0.017,27.39
2025-03-29,82,3112,0.0263,26.64
2025-03-28,91,3542,0.025699999999999997,25.92
2025-03-27,101,3470,0.0291,26.08
2025-03-26,54,3168,0.017,25.72
2025-03-25,60,3654,0.016399999999999998,25.31
2025-03-24,66,4430,0.0149,26.87
2025-03-23,40,3393,0.0118,29.84
2025-03-22,46,3293,0.013999999999999999,31.61
2025-03-21,45,3252,0.0138,30.45
2025-03-20,45,3290,0.0137,35.04
2025-03-19,33,2928,0.0113,31.36
2025-03-18,48,2699,0.0178,29.23
2025-03-17,38,2910,0.0131,28.79
2025-03-16,34,2771,0.0123,29.59
2025-03-15,23,2868,0.008,32.97
2025-03-14,49,2638,0.018600000000000002,33.29
2025-03-13,41,3079,0.013300000000000001,35.3
2025-03-12,42,2579,0.0163,34.32
